Floor Size(SQFT),Number of Rooms,Number of Bathroom,Cluster Label,Amount(BDT)
2200,3,3,8,90000
2250,3,3,7,37000
1300,3,3,2,20000
3000,4,4,8,135000
2700,3,3,3,60000
1100,3,3,0,17000
1500,3,3,8,57000
1872,3,3,6,27000
1250,3,3,0,25000
2900,3,3,8,100000
1400,3,3,2,30000
1300,3,3,6,25000
1200,3,3,6,25000
1400,3,3,6,25000
1020,2,2,2,19500
900,3,2,0,15000
2400,3,3,8,100000
2000,3,4,4,30000
2200,3,3,1,75000
900,3,2,0,16000
600,2,2,5,13000
800,1,2,2,14000
2150,3,4,2,40000
1750,3,3,2,70000
650,2,2,0,11000
1100,3,3,3,26000
1550,3,2,4,25000
2350,3,3,1,106000
600,2,1,6,10000
1200,3,3,6,18000
1100,3,3,3,26000
600,1,1,6,9000
1600,3,3,3,28000
2400,3,3,1,70000
1350,3,3,0,30000
1050,3,2,6,15000
1150,3,2,6,16000
2184,3,4,2,45000
1400,3,3,2,30000
2800,4,4,8,102000
1500,3,3,4,22000
750,2,2,6,15000
800,2,2,6,12000
720,2,2,9,15000
1300,3,3,9,23000
500,2,1,6,11000
980,2,2,6,14000
2700,4,4,1,70000
2000,3,4,2,35000
2300,4,4,1,70000
1450,3,3,1,46000
7000,6,8,8,705000
1300,3,3,4,25000
2500,3,3,4,60000
650,2,2,0,12000
800,2,2,9,14000
1115,3,3,9,18000
1700,3,3,8,100000
1700,3,3,8,100000
1700,3,3,8,80000
1450,3,4,4,60000
700,2,2,9,14000
850,2,2,3,21500
1000,3,2,9,16000
1500,3,3,4,50000
1400,3,3,1,25000
1300,3,3,1,25000
2600,4,4,2,50000
2000,3,4,8,100000
1450,3,3,4,25000
900,3,2,2,20000
4200,4,4,8,400000
1050,3,2,2,16000
1250,3,3,4,30000
900,2,2,2,17000
1400,3,3,2,50000
1400,3,3,0,25000
1050,3,2,6,14000
975,2,2,3,30000
2300,3,3,1,60000
800,2,2,2,18000
800,2,2,9,14000
750,2,2,9,16500
1400,3,3,4,28000
900,2,2,2,20000
1300,3,3,4,30000
1200,3,2,9,22000
1450,3,3,4,24000
2800,4,5,4,70000
2900,4,5,2,50000
1250,3,3,2,45000
800,2,2,3,15000
1470,3,3,3,30000
1400,3,4,2,25000
1400,3,3,4,28000
1300,3,4,2,25000
2300,4,4,1,90000
900,2,2,2,19200
1300,3,3,4,22000
1100,3,2,6,18000
1205,3,3,9,22000
700,2,2,9,15000
1905,3,4,2,50000
1400,3,3,2,22000
1200,3,2,7,20000
1250,3,3,0,15500
1800,3,3,0,25000
1200,3,3,6,17000
700,2,2,0,14000
550,1,1,6,12000
2350,3,4,8,80000
1300,3,3,0,16000
1300,3,3,0,16000
1300,3,3,4,22000
2000,3,3,2,35000
700,2,2,6,10500
2500,4,4,1,205000
800,2,2,0,15000
800,2,2,0,15000
650,2,2,6,11000
1000,3,3,3,20000
1000,3,3,3,20000
1495,3,3,4,28000
950,3,2,0,17000
1700,3,3,4,30000
1000,3,2,6,17000
1075,3,3,5,25000
700,2,1,6,12000
1100,3,3,0,20000
1250,3,3,0,15000
400,1,1,3,12000
400,1,1,3,12000
1600,3,3,2,35000
1000,2,2,2,19000
1800,3,3,3,35000
1615,3,2,5,25000
2000,3,4,3,35000
1260,3,3,0,19000
3000,3,3,8,102000
1050,3,3,5,14000
600,2,1,2,18000
600,2,2,6,13000
1500,3,3,0,21000
1650,4,4,4,34500
1500,3,4,7,35000
1500,3,3,3,45000
650,2,2,0,12500
750,2,2,6,13000
600,2,2,6,12000
600,1,1,6,10000
1300,3,3,2,25000
700,2,1,2,13500
500,1,1,2,12000
1400,3,4,3,34000
850,2,2,6,15000
1500,3,3,6,22000
850,2,2,7,22000
1500,3,3,2,35000
2200,3,3,0,36000
1442,3,3,2,25000
2300,3,3,2,50000
1200,3,2,2,15000
1100,3,2,9,22000
800,2,2,2,30000
900,2,2,2,18000
6300,4,5,8,305000
6300,4,5,8,305000
1400,3,3,6,20000
1500,3,3,2,30000
750,2,2,3,25000
1500,2,2,8,115000
1100,3,3,6,16500
1550,3,3,2,26000
2750,3,3,8,106000
900,2,2,2,20000
1400,3,3,0,20000
1600,3,3,0,25000
1400,3,3,0,20000
1400,3,3,0,20000
1600,3,3,0,25000
1400,3,3,0,20000
1600,3,3,0,25000
1400,3,3,0,20000
1600,3,3,0,25000
1400,3,3,0,20000
1700,3,3,8,80000
1700,3,3,8,100000
1700,3,3,8,80000
1700,3,3,8,80000
1700,3,3,8,80000
750,3,2,5,15000
1300,3,3,1,27000
1650,3,3,7,28000
1300,3,4,8,50000
720,2,2,1,14000
800,2,2,9,16000
2200,3,3,1,90000
1400,3,3,1,25000
1400,3,3,1,25000
900,2,2,2,17000
1654,3,3,0,14000
1700,3,4,2,35000
4400,5,5,4,100000
900,2,2,2,20000
1285,3,4,4,21000
1200,3,2,2,20000
850,2,2,2,17000
800,2,2,2,15000
850,2,2,2,16000
1050,3,3,5,15000
2100,4,4,8,105000
3000,4,5,4,85000
400,1,1,9,9000
2200,4,5,4,40000
2200,3,4,8,95000
1525,3,4,4,32000
2000,3,4,3,35000
3500,4,5,4,100000
1500,3,3,4,25000
1250,3,3,0,25000
1450,3,3,0,21000
1500,4,3,0,25000
2200,3,3,2,75000
2400,3,3,2,107000
1150,3,2,7,18000
650,2,2,6,13000
