Type,Lat,Lon,Floor Size(SQFT),Number of Rooms,Number of Bathroom,Amount(BDT)
1,23.877235,90.397145,"1,800",3,4,45000
1,23.797748,90.38279,900,2,2,15000
1,23.876277,90.387987,"1,480",3,4,70000
1,23.872612,90.387723,"1,800",3,3,30000
1,23.757692,90.355813,950,2,3,14000
1,23.759029,90.365737,"2,700",3,3,60000
1,23.763938,90.351616,"1,050",3,2,13500
1,23.876277,90.387987,"1,600",4,4,30000
1,23.782145,90.415916,"3,000",4,4,101000
1,23.876277,90.387987,"1,975",3,4,60000
1,23.748156,90.373361,"1,650",3,2,40000
1,23.796691,90.383929,800,2,2,14000
1,23.811952,90.371989,650,2,2,13000
1,23.82005,90.38908,800,2,2,12000
1,23.806348,90.358725,"1,150",3,2,19000
1,23.737921,90.433325,700,2,1,8500
1,23.877235,90.397145,"1,800",3,4,45000
1,23.866179409909,90.398411367983,"2,300",4,3,60000
1,23.796905,90.388464,"1,050",3,2,18000
1,23.806348,90.358725,"1,200",3,3,24000
1,23.803256,90.419844,"2,200",3,4,104000
1,23.811952,90.371989,850,3,2,14000
1,23.806348,90.358725,"1,300",3,3,25000
1,23.863289,90.403481,"1,650",3,3,28000
1,23.780624,90.371496,"1,000",2,2,18000
1,23.866578,90.412105,650,2,2,9500
1,23.74691,90.398656,"1,800",3,4,35000
1,23.748651,90.403677,"1,280",3,3,25000
1,23.877235,90.397145,"1,400",3,3,30000
1,23.795805,90.414203,"2,300",3,3,103000
1,23.795805,90.414203,"2,400",3,3,102000
1,23.760748,90.363424,"1,400",3,3,30000
1,23.815914,90.432902,"1,300",3,3,60000
1,23.789129,90.366118,800,2,2,13000
1,23.751254,90.42407,"3,000",6,5,70000
1,23.757692,90.355813,950,2,3,14000
1,23.782145,90.415916,"2,700",3,3,80000
1,23.803256,90.419844,"15,000",20,0,1200000
1,23.818789,90.393137,"1,700",4,3,20000
1,23.815914,90.432902,"2,100",3,3,40000
1,23.782145,90.415916,"3,680",3,4,107000
1,23.782145,90.415916,"2,000",3,3,70000
1,23.798048,90.367562,850,2,2,14000
1,23.782145,90.415916,"2,400",3,3,55000
1,23.773586469746,90.412798657573,"1,450",3,3,60000
1,23.815914,90.432902,"1,300",3,3,40000
1,23.7415812,90.3844492,"1,360",3,3,32000
1,23.745266,90.418059,"1,115",3,3,25000
1,23.828046,90.362106,"1,400",3,3,25000
1,23.824614,90.432913,"1,400",3,3,28000
1,23.818789,90.393137,"1,000",3,2,18000
1,23.792158,90.408825,"2,000",3,3,100000
1,23.7897,90.372253,600,2,1,11000
1,23.739953,90.41422,"1,240",3,3,25000
1,23.761251,90.365097,700,2,2,16000
1,23.828046,90.362106,"1,512",4,4,32000
1,23.74691,90.398656,"1,990",3,3,45000
1,23.782145,90.415916,"2,750",4,4,102000
1,23.792873,90.397454,"2,350",3,4,75000
1,23.824158,90.371518,"1,300",3,3,20000
1,23.78518,90.346253,"1,100",3,3,20000
1,23.808462,90.37748,745,3,2,15000
1,23.74871,90.408078,"1,470",3,3,40000
1,23.7897,90.372253,550,2,1,10000
1,23.883581,90.389312,"1,880",3,3,35000
1,23.803256,90.419844,"3,000",3,4,204000
1,23.7897,90.372253,"1,200",3,3,16000
1,23.798048,90.367562,"1,000",3,2,12000
1,23.750191,90.365664,"1,900",4,4,35000
1,23.8307574,90.4615012,"3,600",4,5,40000
1,23.782145,90.415916,"1,800",3,4,80000
1,23.767656,90.35055,"1,200",3,3,18000
1,23.818255,90.369541,"1,057",3,2,18000
1,23.749206,90.365099,"1,200",2,3,26000
1,23.789129,90.366118,"1,000",3,2,17000
1,23.871732,90.397145,"1,850",3,3,45000
1,23.883581,90.389312,"1,450",3,3,25000
1,23.811241,90.433627,"1,350",3,3,30000
1,23.795805,90.414203,"2,800",3,3,105000
1,23.811821,90.364284,650,2,2,13000
1,23.824158,90.371518,650,2,2,12000
1,23.824158,90.371518,650,2,2,14000
1,23.824158,90.371518,650,2,2,12000
1,23.801189,90.371518,800,2,2,12000
1,23.801189,90.371518,"1,200",4,2,20000
1,23.796564,90.385371,600,1,1,11000
1,23.863289,90.403481,"1,600",3,4,80000
1,23.818255,90.369541,"1,057",3,2,18000
1,23.799695,90.42084,"2,700",3,3,104000
1,23.7351068,90.3850278,550,1,1,16000
1,23.741786,90.375261,"1,700",3,3,38000
1,23.803256,90.419844,"3,200",4,4,200000
1,23.761251,90.365097,700,2,2,16000
1,23.798048,90.367562,850,2,2,13000
1,23.799176,90.422259,"3,000",3,4,215000
1,23.782145,90.415916,"2,100",3,3,90000
1,23.815914,90.432902,"2,100",3,3,42000
1,23.865458,90.390566,"1,850",3,3,50000
1,23.820661,90.433234,"3,000",5,5,65000
1,23.877235,90.397145,"10,500",18,10,405000
1,23.7897,90.372253,"1,100",2,2,14000
1,23.837387,90.369139,400,1,1,15000
1,23.813469,90.395176,"1,850",3,4,35000
1,23.799176,90.422259,"1,500",2,3,115000
1,23.815914,90.432902,"1,250",3,2,24000
1,23.874777,90.388188,"2,900",3,3,60000
1,23.750421,90.400147,900,2,2,20000
1,23.872612,90.387723,"1,200",3,3,24000
1,23.837387,90.369139,"2,200",3,4,40000
1,23.824158,90.371518,"1,800",3,3,30000
1,23.797878,90.362609,900,3,2,11500
1,23.815914,90.432902,"1,300",3,3,30000
1,23.866179409909,90.398411367983,"2,400",3,3,75000
1,23.872612,90.387723,"2,600",4,4,65000
1,23.739091,90.387242,"1,250",2,3,35000
1,23.824614,90.432913,"2,250",3,3,67000
1,23.789129,90.366118,"1,050",3,2,15000
1,23.803256,90.419844,"3,000",3,4,200000
1,23.815914,90.432902,"1,350",3,3,30000
1,23.815914,90.432902,"2,650",5,5,70000
1,23.865458,90.390566,"1,400",3,3,30000
1,23.810879,90.428081,"1,911",3,4,35000
1,23.7897,90.372253,800,2,2,11000
1,23.818789,90.393137,"1,200",3,3,15000
1,23.818255,90.369541,650,2,2,11000
1,23.792068,90.424359,950,2,2,22000
1,23.863289,90.403481,"1,450",3,3,60000
1,23.865458,90.390566,"1,850",3,3,45000
1,23.865458,90.390566,"1,200",3,3,30000
1,23.818218,90.427297,"3,302",5,5,80000
1,23.786459,90.36301,"1,350",3,3,20000
