Type,Lat,Lon,Floor Size(SQFT),Number of Rooms,Number of Bathroom,Amount(BDT)
1,23.74691,90.398656,1990,3,3,45000
1,23.782145,90.415916,2750,4,4,102000
1,23.792873,90.397454,2350,3,4,75000
1,23.824158,90.371518,1300,3,3,20000
1,23.78518,90.346253,1100,3,3,20000
1,23.808462,90.37748,745,3,2,15000
1,23.74871,90.408078,1470,3,3,40000
1,23.7897,90.372253,550,2,1,10000
1,23.883581,90.389312,1880,3,3,35000
1,23.803256,90.419844,3000,3,4,204000
1,23.7897,90.372253,1200,3,3,16000
1,23.798048,90.367562,1000,3,2,12000
1,23.750191,90.365664,1900,4,4,35000
1,23.8307574,90.4615012,3600,4,5,40000
1,23.782145,90.415916,1800,3,4,80000
1,23.767656,90.35055,1200,3,3,18000
1,23.818255,90.369541,1057,3,2,18000
1,23.749206,90.365099,1200,2,3,26000
1,23.789129,90.366118,1000,3,2,17000
1,23.871732,90.397145,1850,3,3,45000
1,23.883581,90.389312,1450,3,3,25000
1,23.811241,90.433627,1350,3,3,30000
1,23.795805,90.414203,2800,3,3,105000
1,23.811821,90.364284,650,2,2,13000
1,23.824158,90.371518,650,2,2,12000
1,23.824158,90.371518,650,2,2,14000
1,23.824158,90.371518,650,2,2,12000
1,23.801189,90.371518,800,2,2,12000
1,23.801189,90.371518,1200,4,2,20000
1,23.796564,90.385371,600,1,1,11000
1,23.863289,90.403481,1600,3,4,80000
1,23.818255,90.369541,1057,3,2,18000
1,23.799695,90.42084,2700,3,3,104000
1,23.7351068,90.3850278,550,1,1,16000
1,23.741786,90.375261,1700,3,3,38000
1,23.803256,90.419844,3200,4,4,200000
1,23.761251,90.365097,700,2,2,16000
1,23.798048,90.367562,850,2,2,13000
1,23.799176,90.422259,3000,3,4,215000
1,23.782145,90.415916,2100,3,3,90000
1,23.815914,90.432902,2100,3,3,42000
1,23.865458,90.390566,1850,3,3,50000
1,23.820661,90.433234,3000,5,5,65000
1,23.877235,90.397145,10500,18,10,405000
1,23.7897,90.372253,1100,2,2,14000
1,23.837387,90.369139,400,1,1,15000
1,23.813469,90.395176,1850,3,4,35000
1,23.799176,90.422259,1500,2,3,115000
1,23.815914,90.432902,1250,3,2,24000
1,23.874777,90.388188,2900,3,3,60000
1,23.750421,90.400147,900,2,2,20000
1,23.872612,90.387723,1200,3,3,24000
1,23.837387,90.369139,2200,3,4,40000
1,23.824158,90.371518,1800,3,3,30000
1,23.797878,90.362609,900,3,2,11500
1,23.815914,90.432902,1300,3,3,30000
1,23.866179409909,90.398411367983,2400,3,3,75000
1,23.872612,90.387723,2600,4,4,65000
1,23.739091,90.387242,1250,2,3,35000
1,23.824614,90.432913,2250,3,3,67000
1,23.789129,90.366118,1050,3,2,15000
1,23.803256,90.419844,3000,3,4,200000
1,23.815914,90.432902,1350,3,3,30000
1,23.815914,90.432902,2650,5,5,70000
1,23.865458,90.390566,1400,3,3,30000
1,23.810879,90.428081,1911,3,4,35000
1,23.7897,90.372253,800,2,2,11000
1,23.818789,90.393137,1200,3,3,15000
1,23.818255,90.369541,650,2,2,11000
1,23.792068,90.424359,950,2,2,22000
1,23.863289,90.403481,1450,3,3,60000
1,23.865458,90.390566,1850,3,3,45000
1,23.865458,90.390566,1200,3,3,30000
1,23.818218,90.427297,3302,5,5,80000
1,23.786459,90.36301,1350,3,3,20000
1,23.79512,90.367211,1100,3,2,15000
1,23.795805,90.414203,2800,4,4,205000
1,23.795805,90.414203,3000,3,4,105000
1,23.74691,90.398656,1900,3,3,45000
1,23.767656,90.35055,720,2,2,15000
1,23.811241,90.433627,1350,3,3,30000
1,23.811952,90.371989,1200,3,3,25000
1,23.803256,90.419844,2300,3,3,102000
1,23.801172,90.347604,1350,3,3,16000
1,23.811952,90.371989,1250,3,3,25000
1,23.764181,90.441226,1500,3,3,21000
1,23.837387,90.369139,1150,3,3,25000
1,23.792118,90.350108,1100,3,3,17000
1,23.871732,90.397145,1980,3,3,65000
1,23.768658,90.35846,1260,3,4,25000
1,23.866179409909,90.398411367983,1494,3,3,25000
1,23.876277,90.387987,900,2,2,22000
1,23.755396,90.40844,550,2,2,13000
1,23.874777,90.388188,900,2,2,19000
1,23.759973,90.355149,750,2,2,13000
1,23.71755,90.416873,1730,3,3,35000
1,23.866179409909,90.398411367983,1890,3,3,38000
1,23.834913,90.418402,1600,3,3,60000
1,23.815914,90.432902,2175,3,4,50000
1,23.794036,90.383094,850,2,2,14000
1,23.815914,90.432902,2175,3,3,50000
1,23.797748,90.38279,1250,3,3,17000
1,23.764742,90.41622,1600,3,4,45000
1,23.754982,90.366631,850,2,2,20000
1,23.748156,90.373361,7500,5,6,305000
1,23.801189,90.371518,1100,3,3,19000
1,23.801189,90.371518,1100,3,3,18000
1,23.828046,90.362106,700,2,2,15000
1,23.795805,90.414203,2200,3,3,80000
1,23.795805,90.414203,4200,3,4,207000
1,23.883581,90.389312,1400,3,3,25000
1,23.803256,90.419844,5500,4,5,305000
